,spread,o/u
bills,-8.5,47.0
raiders,8.5,47.0
falcons,-1.5,40.5
packers,1.5,40.5
bengals,-3.0,46.5
ravens,3.0,46.5
buccaneers,-2.5,40.5
bears,2.5,40.5
lions,-4.5,47.5
seahawks,4.5,47.5
texans,-1.5,39.5
colts,1.5,39.5
jaguars,3.5,51.5
chiefs,-3.5,51.5
titans,3.0,45.5
chargers,3.0,45.5
cardinals,4.5,39.5
giants,-4.5,39.5
rams,-7.0,44.5
49ers,-7.0,44.5
cowboys,-9.5,38.5
jets,9.5,38.5
broncos,-3.5,39.5
commanders,3.5,39.5
patriots,3.0,46.5
dolphins,-3.0,46.5
panthers,3.0,40.0
saints,-3.0,40.0
steelers,2.5,38.5
browns,-2.5,38.5
